No,Name,Negara,QS 2022,CWUR 2021-2022 Rank,THE Rank 2022,CS Rank,CV CG Viz Papers Geom Mean Count,CV CG Viz Faculty
1,University of Oxford,Inggris,2,5,1,193,1.8,8
2,Harvard University,Amerika Serikat,5,1,2,118,2.7,4
3,Stanford University,Amerika Serikat,3,3,4,2,12.9,23
4,Massachusetts Institute of Technology (MIT),Amerika Serikat,1,2,5,19,8.4,26
5,University of Cambridge,Inggris,3,4,5,144,2.3,7
6,California Institute of Technology (Caltech),Amerika Serikat,6,11,2,81,3.4,5
7,University of Chicago,Amerika Serikat,10,8,10,125,2.6,8
8,Yale University,Amerika Serikat,14,10,9,169,2,5
9,Princeton University,Amerika Serikat,20,6,7,66,3.8,7
10,Imperial College London,Inggris,7,30,12,81,3.4,11
11,University of Pennsylvania,Amerika Serikat,13,9,13,41,4.7,10
12,Columbia University,Amerika Serikat,19,7,11,37,5.2,11
13,ETH Zurich - Swiss Federal Institute of Technology,Swiss,8,29,15,6,12.1,15
14,UCL (University College London),Inggris,8,19,18,10,10.3,16
15,"University of California, Berkeley (UCB)",Amerika Serikat,32,12,8,23,7.2,24
16,Johns Hopkins University,Amerika Serikat,25,16,13,66,3.8,8
17,Tsinghua University,Tiongkok,17,58,16,13,9.8,46
18,Cornell University,Amerika Serikat,21,14,22,25,7.1,18
19,University of Toronto,Kanada,26,24,18,8,11.4,20
20,Peking University,Tiongkok,18,59,16,3,12.8,51
21,University of Michigan-Ann Arbor,Amerika Serikat,23,15,24,70,3.7,11
22,The University of Edinburgh,Inggris,16,45,30,30,6.5,8
23,"University of California, Los Angeles (UCLA)",Amerika Serikat,40,18,20,118,2.7,4
24,National University of Singapore (NUS),Singapura,11,89,21,100,3,16
25,The University of Tokyo,Jepang,23,13,35,31,6.3,17
26,Northwestern University,Amerika Serikat,30,17,24,132,2.5,6
27,New York University (NYU),Amerika Serikat,42,26,26,31,6.3,11
28,The University of Melbourne,Australia,37,63,33,149,2.2,10
29,"University of California, San Diego (UCSD)",Amerika Serikat,48,34,34,10,10.3,25
30,Duke University,Amerika Serikat,52,20,23,169,2,10
31,King's College London,Inggris,35,43,35,214,1.6,3
