CWUR 2021-2022 Rank,Name
288,University of Valencia
289,University College Dublin
290,University of Antwerp
291,University of Liège
292,University of the Witwatersrand
293,University at Buffalo
294,Laval University
295,Medical University of Vienna
296,Beihang University
297,University of South Florida
298,Wayne State University
299,University of Delaware
300,University of Pavia
301,University of Kentucky
302,Louisiana State University
303,Dalian University of Technology
304,King Abdullah University of Science and Technology
305,University of New Mexico
306,University of Nebraska–Lincoln
307,Washington State University
308,China Europe International Business School
309,George Washington University
310,University of Lille
311,University of Rome Tor Vergata
312,Ruhr University Bochum
313,University of Duisburg-Essen
314,Southern Methodist University
315,Queen's University
316,Hanyang University
317,University of Porto
318,Ulm University
319,Chinese Academy of Medical Sciences & Peking Union Medical College
320,Northeastern University
321,University of York
322,Friedrich Schiller University Jena
323,Durham University
324,Umeå University
325,Beijing Normal University
326,University of Granada
327,University of South Carolina - Columbia
328,London School of Economics and Political Science
329,Polytechnic University of Milan
330,Dalhousie University
331,National Cheng Kung University
332,University of Düsseldorf
333,Eindhoven University of Technology
334,Hunan University
335,Aalto University
336,Versailles Saint-Quentin-en-Yvelines University
337,Hannover Medical School
338,International Institute for Management Development
339,Simon Fraser University
340,Beijing Institute of Technology
341,University of Dundee
342,University of St Andrews
343,University of the Basque Country
344,University of Milano-Bicocca
345,Lancaster University
346,University of Electronic Science and Technology of China
347,University of Campinas
348,University of Belgrade
349,École des ponts ParisTech
350,City College of New York
351,University of Otago
352,Temple University
353,Albert Einstein College of Medicine
354,Aalborg University
355,Ben-Gurion University of the Negev
356,University of Buenos Aires
357,Queen's University Belfast
358,Vrije Universiteit Brussel
359,Drexel University
360,Federal University of Rio de Janeiro
361,University of Southern Denmark
362,Linköping University
363,Curtin University
364,University of Marburg
365,University of Parma
366,Lanzhou University
367,China Agricultural University
368,Pohang University of Science and Technology
369,National Research Center «Kurchatov Institute»
370,Technical University of Berlin
371,King Saud University
372,Islamic Azad University
373,Justus Liebig University Giessen
374,University of Ljubljana
375,University of Innsbruck
376,Jagiellonian University
377,Pontifical Catholic University of Chile
378,University of Oregon
379,University of Technology Sydney
380,Macquarie University
381,University of Turku
382,National Tsing Hua University
383,Medical University of South Carolina
384,East China Normal University
385,University of Victoria
386,Chongqing University
387,University of Perugia
388,Deakin University
389,University of Regensburg
390,Griffith University
391,Kyung Hee University
392,"University of Oklahoma, Norman"
393,East China University of Science and Technology
394,University of Warsaw
395,Pompeu Fabra University
396,University of Wollongong
397,University of Malaya
398,University of Newcastle
399,University of Texas at Dallas
400,Chalmers University of Technology
401,Queensland University of Technology
402,Kyungpook National University
403,"University at Albany, SUNY"
404,Swedish University of Agricultural Sciences
405,University of Seville
406,Vienna University of Technology
407,University of Coimbra
408,University of Bari
409,Aristotle University of Thessaloniki
410,University of Science and Technology Beijing
411,University of Twente
412,Amherst College
413,Northwestern Polytechnical University
414,University of Saskatchewan
415,Indian Institute of Management Ahmedabad
416,University of Tasmania
417,University of Côte d'Azur
418,Tampere University
419,University of Ulsan
420,Indiana University – Purdue University Indianapolis
421,São Paulo State University
422,Zhengzhou University
423,Texas Tech University
424,Hiroshima University
425,Thomas Jefferson University
426,Capital Medical University
427,York University
428,China University of Geosciences
429,Kansas State University
430,Chonnam National University
431,University of Stuttgart
432,Stockholm School of Economics
433,Catholic University of the Sacred Heart
434,University of Mississippi
435,Stellenbosch University
436,University of Chile
437,University of Trieste
438,Okayama University
439,University of Clermont Auvergne
440,Kobe University
441,Tulane University
442,Shenzhen University
443,Saint Louis University
444,University of Bath
445,University of Texas Health Science Center at San Antonio
446,University of Oulu
447,Vita-Salute San Raffaele University
448,University of Navarra
449,Pusan National University
450,University of Trento
451,Medical College of Wisconsin
452,University of Eastern Finland
453,University of Zaragoza
454,Martin Luther University Halle-Wittenberg
455,National Chiao Tung University
456,University of Catania
457,University of Colorado Denver
458,University of Vermont
459,Indian Institute of Science
460,University of Guelph
461,University of Alabama - Tuscaloosa
462,Syracuse University
463,University of Central Florida
464,Polytechnic University of Catalonia
465,University of Louisville
466,Shanghai University
467,University of Santiago de Compostela
468,University of Siena
469,Florida International University
