No,Name,Negara,QS 2022,CWUR 2021-2022 Rank,THE Rank 2022
65,University of Copenhagen,Denmark,79,37,96
92,Ghent University,Belgia,141,121,96
84,KAIST - Korea Advanced Institute of Science & Technology,Korea Selatan,41,223,99
83,University of Helsinki,Finlandia,104,118,101
97,University of Bern,Swiss,119,143,101
112,Aarhus University,Denmark,155,107,104
88,University of Birmingham,Inggris,90,79,105
129,Albert-Ludwigs-Universitaet Freiburg,Jerman,172,122,108
91,The University of Sheffield,Inggris,95,150,110
96,The University of Adelaide,Australia,108,213,111
99,National Taiwan University (NTU),Taiwan,68,90,113
151,Lund University,Swedia,87,141,116
72,Université Paris-Saclay,Perancis,86,32,117
85,University of Oslo,Norwegia,102,77,119
130,Sungkyunkwan University (SKKU),Korea Selatan,97,192,122
154,Uppsala University,Swedia,124,88,131
93,The University of Western Australia,Australia,93,156,132
108,University of Vienna,Austria,151,207,137
142,The University of Auckland,Selandia Baru,85,262,137
118,Trinity College Dublin,Irlandia,101,218,146
131,Yonsei University,Korea Selatan,79,169,151
100,City University of Hong Kong,Hong Kong,53,266,151
150,Universitat Pompeu Fabra,Spanyol,248,395,156
98,Lomonosov Moscow State  University,Rusia,78,194,158
109,Université Catholique de Louvain (UCL),Belgia,188,197,158
148,Universitat Autònoma de Barcelona,Spanyol,209,186,170
123,Alma Mater Studiorum - University of Bologna,Italia,166,177,172
34,EPFL (Ecole Polytechnique Fédérale de Lausanne),Swiss,14,104,176
152,Stockholm University,Swedia,148,144,176
153,University of Gothenburg,Swedia,180,173,185
113,Technical University of Denmark,Denmark,99,196,185
104,King Abdulaziz University (KAU),Arab Saudi,109,278,190
149,Universitat de Barcelona,Spanyol,168,131,193
125,Sapienza University of Rome,Italia,171,113,197
89,Purdue University,Amerika Serikat,116,61,1201
127,Tohoku University,Jepang,82,132,201–250
158,University of Waterloo,Kanada,149,200,201–250
110,Université Libre de Bruxelles,Belgia,207,219,201–250
139,University of Bergen,Norwegia,199,276,201–250
120,University College Dublin,Irlandia,173,289,201–250
114,Aalto University,Finlandia,112,335,201–250
144,University of Otago,Selandia Baru,194,351,201–250
111,Aalborg University,Denmark,326,354,201–250
157,Taipei Medical University,Taiwan,407,712,201–250
101,Alfaisal University,Arab Saudi,,1805,201–250
115,University of Oulu,Finlandia,377,446,251–300
119,University College Cork,Irlandia,298,517,251–300
132,University of Luxembourg,Luksemburg,,864,251–300
128,Tokyo Institute of Technology,Jepang,56,151,301–350
147,Universidad Autónoma de Madrid,Spanyol,207,282,301–350
133,Universiti Malaya (UM),Malaysia,65,397,301–350
156,National Yang Ming Chiao Tung University,Taiwan,268,455,301–350
141,Qatar University,Qatar,224,981,301–350
121,Reykjavík University,Islandia,,1967,301–350
124,Politecnico di Milano,Italia,142,344,351–400
103,King Saud University,Arab Saudi,277,371,351–400
116,University of Turku,Finlandia,295,381,351–400
155,National Tsing Hua University,Taiwan,180,382,351–400
138,UiT The Arctic University of Norway,Norwegia,440,512,351–400
117,National University of Ireland Galway,Irlandia,258,619,351–400
102,King Fahd University of Petroleum & Minerals,Arab Saudi,163,705,351–400
107,Universität Innsbruck,Austria,281,375,401-500
106,Technische Universitat Wien,Austria,180,,401-500
137,Norwegian University of Science and Technology,Norwegia,369,182,401–500
122,University of Iceland,Islandia,,575,401–500
143,University of Canterbury,Selandia Baru,258,516,501–600
145,Victoria University of Wellington,Selandia Baru,236,698,501–600
135,Universiti Sains Malaysia (USM),Malaysia,147,778,601–800
134,Universiti Putra Malaysia (UPM),Malaysia,143,805,601–800
105,Technische Universitat Graz,Austria,277,828,601–800
136,Universiti Teknologi Malaysia,Malaysia,191,901,601–800
42,Ludwig-Maximilians-Universität München,Jerman,64,44,
126,Università degli Studi di Padova (UNIPD),Italia,242,165,
146,Singapore Management University,Singapura,511-520,1363,
